numero_de_dossier,annee_budgetaire,nom_beneficiaire,numero_siret,objet_du_dossier,montant_vote,direction,nature_de_la_subvention,secteurs_d_activites_definies_par_l_association
2024_05830,2024,AREMEDIA - ACTION-RECHERCHE EUROPEENNE MEDECINE ET INTERACTIONS ASSOCIATIVES,40871300000000.0,J.E.T Jeunes Exposés aux Trafics,10000.0,DSP,Fonctionnement,['social']
2024_01921,2024,ASTERYA,80877600000000.0,Bouge pour tes valeurs !,3000.0,DDCT,Projet,['social']
2024_02845,2024,CAPUCINE ET PAPILLONS JARDIN D'ENFANCE,48158700000000.0,Subvention de fonctionnement 2024,55567.0,DFPE,Fonctionnement,['education & formation']
2022_08615,2022,WETECHCARE,81295200000000.0,Appel à projet / Accompagner les parents à l¿ère dunumérique sur l¿ensemble du territoire parisienPARNUM22,10000.0,DFPE,Projet,none
2024_06930,2024,LE GRAND MELANGE,83079600000000.0,Projet chorale des collégiens - Spectacle Alice Swing - L'art pour grandir,6000.0,DAC,Projet,['culture & arts']
2022_08004,2022,129 H PRODUCTIONS,44326900000000.0,CPO DAC LE GRAND SLAM DES AMANDIERS,1200.0,DASCO,Projet,none
2022_01674,2022,ACTIV'ACTION,81237900000000.0,Accompagner le développement des compétences des personnes éloignées de l¿emploi (20e arrdmt),2000.0,DDCT,Projet,none
2022_00512,2022,ALLIANCE DES AVOCATS POUR LES DROITS DE L'HOMME,51959500000000.0,CLEAR RIGHTS,2000.0,DDCT,Projet,none
2024_08566,2024,ASSOCIATION L'ENFANT BLEU ENFANCE MALTRAITEE,40048600000000.0,Accompagnement thérapeutique et juridique des enfants et adultes victimes de violences ds l'enfance,10000.0,DSOL,Fonctionnement,['social']
2024_04215,2024,ASSOCIATION SPORTIVE VITRUVE,39972100000000.0,Permettre aux élèves de l'AS de pratiquer des activités sportives et créer du lien avec le quartier.,1800.0,DJS,Fonctionnement,['sport']
2024_03982,2024,ATELIER DES ARTISTES EN EXIL,82780800000000.0,Demande pour 2024 de l'atelier des artistes en exil adresse à la DAC Cabinet de Carine Roland,72000.0,DAC,Fonctionnement,['culture & arts']
2024_04235,2024,BOXING ATLETIC CLUB IX,39025800000000.0,Fonctionnement courant de l association boxing athletic club 9 pour 2024,10000.0,DJS,Fonctionnement,['sport']
2024_10326,2024,BEGUM ORGANIZATION FOR WOMEN (BOW),90835500000000.0,BegumTV,7000.0,DGRI,Projet,none
2024_01764,2024,FRICHTI CONCEPT,44862700000000.0,Réinvestissons la GAB 3,1000.0,DDCT,Projet,none
2024_04980,2024,LES AMIES ET AMIS DE LA COMMUNE DE PARIS - 1871,41941100000000.0,FETE DE L'ASSOCIATION DES AMIES ET AMIS DE LA COMMUNE DE PARIS 1871,4000.0,DAC,Fonctionnement,none
2023_08636,2023,ASSOCIATION D'ACTION SOCIALE EN FAVEUR DES PERSONNELS DE LA VILLE DE PARIS ET DU DEPARTEMENT DE PARIS ASPP,32385700000000.0,Demande de subvention dans le cadre du Plan de sortie des plastiques de la restauration collective,15472.0,DEVE,Investissement,['social']
2023_06737,2023,ASSOCIATION DE LA PLUME NOIRE,47976500000000.0,Le Prix Senghor du 1er roman francophone et francophile fete ses 18 ans,3000.0,DAC,Projet,['culture & arts']
2023_10302,2023,ASSOCIATION VILLETTE EMPLOI,38305400000000.0,Soutien exceptionnel inflation,7000.0,DAE,Fonctionnement,['social']
2023_09223,2023,COLLECTIF MAISON DE L'AIR,91088300000000.0,Amphimaginaire/FAL20,2500.0,DDCT,Fonctionnement,['culture & arts']
2023_07964,2023,ARTAXE,79062200000000.0,La poésie du sport ¿ lecture spectacle dansant/FORMESOL,4000.0,DAC,Projet,['loisirs']
2023_04939,2023,COMITE FRANCAIS DE SOUTIEN GK SAVAR BANGLADESH,78980600000000.0,DauFarSIDA année 3,65000.0,DGRI,Projet,['social']
2023_04262,2023,ASSOCIATION RENCONTRE POUR LA PEDAGOGIE ET L'ENSEIGNEMENT DU JAZZ ARPEJ,32884700000000.0,ARPEJ : Réaliser & Pérenniser des actionscollectives pédagogiques et de diffusionsmusicales.,3000.0,DAC,Fonctionnement,['loisirs']
2023_04426,2023,CENTRE DU THEATRE DE L'OPPRIME AUGUSTO BOAL,31939200000000.0,"Fonctionnement courant du Théâtre de l'Opprimé, année 2023",16500.0,DAC,Fonctionnement,['culture & arts']
2023_07149,2023,COMITE DEPARTEMENTAL DE CYCLOTOURISME DE PARIS CODEP 75,44768000000000.0,Vélo Ecole & Mobilité,4000.0,DVD,Fonctionnement,['sport']
2023_09357,2023,HARMONIES ITINERANTES,91018300000000.0,Des ateliers de musique pour des enfants et jeunes des QPV du 19éme arrondissement,2500.0,DAC,Projet,['culture & arts']
2023_02817,2023,CRESUS ILE DE FRANCE (CIDF),45289600000000.0,"Permanence de surendettement à PARIS :Accueil, information et accompagnement despersonnes endett",53000.0,DSOL,Fonctionnement,['education & formation']
2023_09400,2023,LE BALCON,50895500000000.0,subvention d'équipement 2023,10000.0,DAC,Investissement,['culture & arts']
2023_00466,2023,LES ECOUTEURS DE RUES,88898000000000.0,"LES ECOUTEURS DE RUES, professionnels de la santé psycho-sociale à votre écoute dans l'espace public",3000.0,DSP,Projet,['social']
2023_00395,2023,LES CRAMPONS PARISIENS 86,51758600000000.0,Fonctionnement courant de l'association pour l'année 2022-2023,700.0,DJS,Fonctionnement,['sport']
2024_08528,2024,BAD BICHES (BAD BICHES),90191700000000.0,Aide à la diffusion d'oeuvre dans le domaine de la musique,5000.0,DAC,Projet,none
2024_10706,2024,CLICHES URBAINS,50793400000000.0,Alimage (transition alimentaire et éducation populaire par l'image),1000.0,DDCT,Projet,none
2024_06406,2024,GLACE ET ROLLER INLINE DE PARIS GRIP PARIS ICE AND ROLLER INLINE PIRI,49418600000000.0,Fonctionnement 2024,800.0,DJS,Fonctionnement,none
2024_08509,2024,HANA SAN STUDIO,51774100000000.0,SV24RES2  Aide à la Résidence AAP2024,10000.0,DAC,Projet,none
2024_07519,2024,INSTITUT POUR LES SAVOIR-FAIRE FRANCAIS,30633100000000.0,"LES MÉTIERS D'ART À PARIS, PAR ET POUR LES PARISIENS",9000.0,DAE,Fonctionnement,none
2024_03433,2024,INTERFACE FORMATION,40218600000000.0,IAE BIAE (DAE),213000.0,DAE,Fonctionnement,none
2024_07299,2024,LAB MOBILE,84858200000000.0,AAP TAP 2024_Les ateliers Eco Bricolo,19500.0,DASCO,Fonctionnement,none
2024_02853,2024,L'ELOQUENCE DE LA DIFFERENCE,91156300000000.0,Tous Eloquents! - Projet Handicap,5000.0,DSOL,Fonctionnement,none
2023_05420,2023,YAYEMAYE,89876100000000.0,Insertion des Femmes par la couture dans le 18e,1000.0,DDCT,Projet,['education & formation']
2024_02020,2024,L'ETERNEL SOLIDAIRE,82398300000000.0,À NOUS LIER',1500.0,DDCT,Projet,none
2023_01156,2023,ACADEMIE HORS CONCOURS,82257500000000.0,Création d'un club Hors Concours avec les habitants du quartier QPV Belleville Fontaine au Roi.,1000.0,DDCT,Projet,['culture & arts']
2024_11014,2024,MA PLUME EST A VOUS,41523800000000.0,CPO: Droit médiation et accès aux droits,14000.0,DSOL,Projet,none
2024_03619,2024,PÉPINS PRODUCTION LA PÉPINIÈRE DE QUARTIER,81079900000000.0,IAE Atelier chantier d'insertion Prendre Racines,29000.0,DAE,Fonctionnement,none
2024_09606,2024,POULP,87971200000000.0,EMILE PARISIEN QUARTET 20 ANS,4000.0,DAC,Projet,none
2024_02568,2024,QUARTIERLUD,84043000000000.0,Ludo nomade,4000.0,DDCT,Projet,none
2022_07184,2022,CHOREDANZAS,83136500000000.0,Fonds d'animation locale: subvention pour soutenir les associations de Paris Centre.,1200.0,DDCT,Fonctionnement,none
2023_03991,2023,ASSOCIATION SOLIDARITE SIDA,39861300000000.0,Prévention des conduites à risques - Dispositif Fetez-clairs- AAP MMPCRFC21/22.,8000.0,DSP,Projet,['santé']
2022_04126,2022,CULTURE RELAX,49812200000000.0,Demande de subvention 2022 à la DASES et la DAC pour l'accessibilité culturelle - Ciné-ma différence,5000.0,DAC,Fonctionnement,none
2022_05219,2022,ECOLE DE CHIENS GUIDES POUR AVEUGLES ET MALVOYANTS DE PARIS ET DE LA REGION PARISIENNE (ECGAMVP),41809400000000.0,Remises gratuites de chiens guides à des personnes déficientes visuelles,45000.0,DSOL,Fonctionnement,none
2023_07975,2023,COMITE OFFICIEL DES FETES ET D'ACTION SOCIALE DE MONTMARTRE ET DU 18EME ARRONDISSEMENT,42046200000000.0,fond d animation local 18/FAL,5900.0,DDCT,Fonctionnement,['culture & arts']
