numero_de_dossier,annee_budgetaire,nom_beneficiaire,numero_siret,objet_du_dossier,montant_vote,direction,nature_de_la_subvention,secteurs_d_activites_definies_par_l_association
2023_10310,2023,ASSOCIATION DES COMMERÇANTS DU GROS CAILLOU,84313200000000.0,PARIS ILLUMINE PARIS,4900.0,DAE,Fonctionnement,['vie et animation locale']
2023_02102,2023,ASSOCIATION SPORTIVE DE LA POLICE DE PARIS (ASPP),77568100000000.0,Fonctionnement 2023,1000.0,DJS,Fonctionnement,['sport']
2023_01849,2023,ASSOCIATION SPORTIVE DU COLLEGE FRANÇOIS VILLON,44806400000000.0,Subvention pour fonctionnement Association Sportive sur une année,1000.0,DJS,Fonctionnement,['sport']
2023_06701,2023,CANAL MARCHES,41205100000000.0,CPO SECA - L¿université Populaire Audiovisuelle à Belleville-Amandiers 2022,3000.0,DAC,Projet,['education & formation']
2023_10246,2023,FEDERATION FRANÇAISE D'HALTEROPHILIE - MUSCULATION - FFHM,43811700000000.0,Participation de la FFHM au salon FITEX 2023,5000.0,DJS,Fonctionnement,['sport']
2023_03667,2023,INTERNATIONAL VISUAL THEATRE IVT,32418200000000.0,Acompte 2023 DAC,125000.0,DAC,Fonctionnement,['culture & arts']
2023_01684,2023,L'AQUILONE,43495300000000.0,VVV - Découverte et Initiation à la Danse Contemporaine avec Musique Vivante (Kellermann et 13è Sud,1000.0,DPMP,Projet,['sport']
2023_04971,2023,LE BUS DES FEMMES,39905000000000.0,Participation au remplacement du bus de prévention du Bus des Femmes en un véhicule tout électrique,15256.0,DSP,Investissement,['social']
2023_00065,2023,LES FILS DES MORTS POUR LA FRANCE LES FILS DES TUES D'ILE DE FRANCE PARIS,78436200000000.0,Subvention de fonctionnement et aides financières,400.0,DAC,Fonctionnement,['mémoire']
2024_00518,2023,MENILMONTANT PARIS SPORTS,77569600000000.0,Education par le Sport 2023/24,11500.0,DASCO,Projet,['sport']
2023_10402,2023,QUOKKA C'EST + FACILE D'ETRE PARENT D'ADO !,82540800000000.0,Vis ta com' en miroir/APA23,4300.0,DFPE,Projet,['education & formation']
2023_00571,2023,SAVOIR APPRENDRE,41406600000000.0,VVV 2023_Tatane_Stages scientifiques et numériques à Fontaine au Roi,825.0,DPMP,Projet,['education & formation']
2023_10524,2023,UNION DES COMMERCANTS INDUSTRIELS ARTISANS ET PRESTATAIRES DE SERVICES DU VIIEME ARRONDISSEMENT UCIAP 7EME,42379400000000.0,PARIS ILLUMINE PARIS,1500.0,DAE,Fonctionnement,['vie et animation locale']
2022_09770,2022,ASSOCIATION DES COMMERÇANT DU QUARTIER JARDIN DES PLANTE,90437900000000.0,ILLUMINATION DE NOEL 2022,1000.0,DAE,Fonctionnement,none
2022_04825,2022,AXES PLURIELS,40292500000000.0,CPO SPV-Atelier socio linguistique pour les habitants et les travailleurs du Xème arrondissement,3000.0,DDCT,Projet,none
2022_03069,2022,BENKADI - ASSOCIATION DE FEMMES ET FAMILLES AFRICAINES DU XXEME- AFEMA 20,44355600000000.0,"Fonctionnement:Animation et vie locale, pouvoir d'agir dans nos quartiers, lien social, solidarité",1500.0,DDCT,Fonctionnement,none
2022_00781,2022,"CONTACT PARIS ILE DE FRANCE : DIALOGUE ENTRE LES PARENTS, LES LESBIENNES, LES GAYS, LES BI, LES TRANS, LEURS FAMILLES ET AMI.E.S",50335100000000.0,DDCT-SEIILutte contre les discriminations -Intervention auprès des jeunes en milieu scolaire,5000.0,DDCT,Projet,none
2022_01055,2022,EDUC'HAND,53804700000000.0,Convention d'objectifs - Subvention 2022,15000.0,DJS,Fonctionnement,none
2022_07629,2022,FOODSWEETFOOD,82907800000000.0,Repas Refugee Food Accueil Ukraine,101016.0,DSOL,Fonctionnement,none
2023_00997,2022,IM'PACTES,92018000000000.0,Projet le métier de tes rêves -PACTES scolarité,9000.0,DSOL,Fonctionnement,none
2022_01502,2022,LA COMPAGNIE A L'AFFUT,44796500000000.0,Clara Zetkin-Place de Vénétie Dynamiser & recréer du lien Social grâce au Spectacle & à l'Educ Pop,4400.0,DDCT,Projet,none
2022_08445,2022,LA COMPAGNIE PAR HAS'ARTS,50031600000000.0,Actions transtion dans le quartier de la Fontaine au roi,2000.0,DEVE,Projet,none
2022_06833,2022,LA COOP MIJOTÉE,82785100000000.0,"Les ateliers cuisine de Babelville- ""Vie Ville Vacances""VVV",1800.0,DDCT,Projet,none
2022_05941,2022,LE GARAGE NUMERIQUE,75351100000000.0,Co-financement DDCT d'un poste adultes-relais n°07517R001301,4700.0,DDCT,Fonctionnement,none
2022_03325,2022,LES ENFANTS DU CANAL,49767300000000.0,IAE BESC 2022,52000.0,DAE,Projet,none
2022_01903,2022,OPPELIA,32602100000000.0,Accueil des publics migrants en situation d'exclusion et présentant des problématiques addictives,6000.0,DDCT,Projet,none
2024_06610,2024,"CONSEIL D'ARCHITECTURE, D'URBANISME ET DE L'ENVIRONNEMENT DE PARIS (CAUE)",32564600000000.0,Subvention de fonctionnement 2024,250000.0,DU,Fonctionnement,['environnement & écologie']
2024_04962,2024,CULTURES DU COEUR-PARIS,75383700000000.0,CONVENTION PLURI ANNUELLE d'OBJECTIFS (SUBVENTION DE FONCTIONNEMENT),7000.0,DAC,Fonctionnement,['culture & arts']
2024_05479,2024,SAMA FOR ALL,84235700000000.0,Programme d'insertion professionnel par la culture et l'apprentissage linguistique.,2000.0,DDCT,Projet,['culture & arts']
2024_01319,2024,13 POUR TOUS,48905500000000.0,Les JO 2.0 : Soyons acteurs du futur des Jeux Olympiques!,2000.0,DDCT,Projet,none
2024_08182,2024,COLLECTIF FEMINISTE CONTRE LE VIOL VIOLS FEMMES INFORMATIONS SOS VIOLS,35135400000000.0,Renforcer l'accueil et l'accompagnement des victimes parisiennes de viols et d'agressions sexuelles,20000.0,DDCT,Projet,none
2024_04951,2024,DROIT PLURIEL,82093000000000.0,"Droit Pluriel, association pour la défense des droits des parisiens en situation de handicap",7000.0,DSOL,Fonctionnement,none
2024_06137,2024,ENSEMBLE VOCAL SEQUENZA 9.3,47932400000000.0,Cantate 2024 - année 2024,10000.0,DAC,Projet,none
2024_08518,2024,FLEUVE DE JANVIER,89182600000000.0,Aide à la diffusion compagnie Fleuve de Janvier SV24DIF2,7000.0,DAC,Projet,none
2022_08446,2022,TERRE CITOYENNE ET SOLIDAIRE,75190500000000.0,Solidae,23168.0,DGRI,Projet,none
2022_04509,2022,UNAFAM -UNION NATIONALE DE FAMILLES ET AMIS DE PERSONNES MALADES ET/OU HANDICAPEES PSYCHIQUES,78436300000000.0,Subvention de fonctionnement,23000.0,DSOL,Fonctionnement,none
2022_06722,2022,AGENCE PARISIENNE DU CLIMAT (APC),52800700000000.0,SUBVENTION DE FONCTIONNEMENT - DEVE/DLH/DU 2021/2023,130000.0,DTEC,Fonctionnement,none
2022_07114,2022,ASSOCIATION GAN YOSSEF CRECHE ET JARDIN D'ENFANTS,33973600000000.0,BUDGET PREVISIONNEL CRECHE FAMILIALE 2022,353394.0,DFPE,Fonctionnement,none
2022_00362,2022,ASSOCIATION SPORTIVE DU COLLEGE CLAUDE DEBUSSY 4 PLACE DU COMMERCE 75015 PARIS,39970000000000.0,Aide au fonctionnement de l'association sportive scolaire du collège Debussy,600.0,DJS,Fonctionnement,none
2022_03314,2022,ASSOCIATION TRAVAIL ET VIE,32589500000000.0,IAE BESC,23000.0,DAE,Projet,none
2022_01580,2022,CLUB DES NAGEURS DE PARIS,48809700000000.0,CPO,40000.0,DJS,Fonctionnement,none
2022_03783,2022,CLUB SPORTIF TERNES PARIS OUEST CSTPO,43789000000000.0,fonctionnement CPO 2021-2023,22500.0,DJS,Fonctionnement,none
2022_00424,2022,COMITE DEPARTEMENTAL DE PARIS DE LA FEDERATION SPORTIVE ET GYMNIQUE DU TRAVAIL,53530300000000.0,Convention de partenariat,65000.0,DJS,Fonctionnement,none
2022_06009,2022,EXPERIMENTATION TERRITORIALE CONTRE LE CHOMAGE DE LONGUE DUREE (ETCLD),82262600000000.0,Contribution au développement de l'emploi 2022,27000.0,DAE,Projet,none
2022_00285,2022,LA BALEINE SE MET A L O,53143300000000.0,subvention de fonctionnement - année 2022,800.0,DJS,Fonctionnement,none
2022_05386,2022,LA NUIT COMME EN PLEIN JOUR,41758400000000.0,Projet Rencontres de la Nuit 2022,5000.0,DAC,Projet,none
2022_04153,2022,LE CONCERT SPIRITUEL,34941700000000.0,Aide au fonctionnement du Concert Spirituelpour ses activités à Paris,20000.0,DAC,Fonctionnement,none
2022_04278,2022,L'IMPOSSIBLE,50446300000000.0,« LES CRÉATIFS CHRONIQUES »TROUPE PERMANENTE COMPOSÉE DE PERSONNES EN SITUATION DE HANDICAP(PARIS),8000.0,DAC,Projet,none
2022_04912,2022,"SEINE-SAINT-DENIS TOURISME, AGENCE DE DEVELOPPEMENT TOURISTIQUE",41923700000000.0,ETE DU CANAL 2022,49000.0,DVD,Projet,none
2022_06382,2022,ALLIANCE ISRAELITE UNIVERSELLE ASSOCIATION,78441100000000.0,SOUTIEN AU FONCTIONNEMENT DE LA BIBLIOTHEQUE DE L¿ALLIANCE ISRAELITE UNIVERSELLE (BAIU) 2022,20000.0,DAC,Projet,none
2022_02691,2022,ARC - EQUIPES D'AMITIES (ARC-EA),77566200000000.0,CPO SEPLEX - Espace de proximité Club Tournesol,76500.0,DASES,Projet,none
2022_00968,2022,TANDEM REFUGIES,82118200000000.0,Subvention pluriannuelle 2022-2025 pour un changement d'échelle de Tandem Réfugiés,10000.0,DSOL,Projet,none
2024_06588,2024,MIGRACOOP,83982900000000.0,Migracoop couture - hors appel à projets Jeunes pousses et SPV,2000.0,DAE,Projet,none
2024_03612,2024,SPORTING CLUB UNIVERSITAIRE DE FRANCE,78471400000000.0,SCUF - NATATION -  Convention Pluri-annuelle d'Objectifs,30000.0,DJS,Projet,none
2023_04955,2023,12 BARS EN SCENE,84990800000000.0,"Aide au festival ""Tournée Générale"" 2023",3000.0,DDCT,Fonctionnement,['culture & arts']
2023_08465,2023,ALTERNATIVE CULTURE,87903600000000.0,La Voix du 17eme/Amendement Bloche,1500.0,DAC,Fonctionnement,['sport']
2023_06075,2023,ANNA & GRÉGOIRE,83042500000000.0,Aide à la Résidence artistique et culturelle dans le domaine du spectacle vivant,8000.0,DAC,Projet,['culture & arts']
2023_02849,2023,ASSOCIATION POUR LE SOUTIEN DU THEATRE PRIVE,78439600000000.0,Fonctionnement et activités de l'Association pour 2023,1561500.0,DAC,Fonctionnement,['culture & arts']
2023_00655,2023,ASSOCIATION SPORTIVE DIDEROT,48095800000000.0,Fonctionnement courant et aide aux projets,1000.0,DJS,Fonctionnement,['sport']
2023_02917,2023,COUP D'MAIN,40805900000000.0,IAE BESC,43000.0,DAE,Fonctionnement,['précarité & exclusion']
2023_08542,2023,ECOLE DES ARTS DE LA SCENE - LES PETITS RIENS,45087400000000.0,CPO PDV -LES PETITS RIENS-CULTURE- La Troupe et l'Orchestre des Petits Riens - Ateliers d'approfondi,2000.0,DJS,Projet,['loisirs']
2023_04828,2023,ENSEMBLE LES DISSONANCES,48342200000000.0,"Financement de l'Autre saison, série de concerts à Paris au profit des sans-abri",8000.0,DAC,Projet,['culture & arts']
2023_10867,2023,HOME SWEET MÔMES,79423100000000.0,Co-financement d'un poste adultes-relais + AR075021R002200,4700.0,DDCT,Projet,['loisirs']
2023_00674,2023,JE D'ENFANT (ET D?ADOLESCENT),79278900000000.0,Récit des origines au centre social Chevaleret (13è),1000.0,DDCT,Projet,['culture & arts']
2023_02416,2023,L'ASSOCIATION SPORTIVE DE L'UNITE DE FORMATION ET DE RECHERCHE EN SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES AS UFRSTAPS DE L'UNIVERSITE RENE DESCARTES PARIS V,51526100000000.0,subvention de fonctionnement pour l'anneé 2023,2500.0,DJS,Fonctionnement,['sport']
2023_06887,2023,LE PARI'S DES FAUBOURGS,44062200000000.0,DSOL CPO Interdirections,176758.0,DSOL,Fonctionnement,['loisirs']
2023_03011,2023,PARABOLE,51011600000000.0,CPO - Association Parabole - Formation linguistique : alphabétisation et remise à niveau,2500.0,DSOL,Fonctionnement,['education & formation']
2023_05962,2023,SLAM PRODUCTIONS,42865600000000.0,"Grand Poetryslam 2023 : Grand Slam National,Coupe du Monde de Poésie, et Grand Slam Interscolaire",15000.0,DAC,Fonctionnement,['culture & arts']
2024_00215,2023,T.A.L.A. (TRADITIONS ARTISTIQUES LATINES ET AFRICAINES),79036300000000.0,Sport adapté,3000.0,DJS,Fonctionnement,['sport']
2024_09898,2024,ASSOCIATION INITIATIVES RENCONTRES ET SOLIDARITE 10EME AIRES 10EME,34058400000000.0,ACCUEIL JEUNE,4000.0,DJS,Projet,none
2024_10185,2024,ASSOCIATION POUR LA PROMOTION ET L'ORGANISATION LUDIQUES DE LOISIRS,89499700000000.0,MOIS PARISIEN DU HANDICAP - ASSOCIATION APOLLO,2000.0,DSOL,Fonctionnement,none
2024_05123,2024,DU BLEU DANS LES YEUX,81958300000000.0,Subvention de Fonctionnement La Ressource de Belleville,33000.0,DPE,Indéterminée,none
2024_00979,2024,LA VOIX DE SARAH,91213700000000.0,Protégeons nos enfants - Sensibilisation en milieu sportif et scolaire,5000.0,DDCT,Fonctionnement,none
2024_02560,2024,PARIS ESCRIME SPORTING CLUB,90113400000000.0,Espoir - Paris Escrime Sporting Club,2000.0,DJS,Projet,none
2023_03641,2023,ASSOCIATION CONCERTS PASDELOUP,78434000000000.0,Acompte 2023 DAC,75000.0,DAC,Fonctionnement,['loisirs']
2023_02526,2023,AUTEUIL PETITE ENFANCE,52524300000000.0,Participation au fonctionnement d'un MAC de 13 places au sein de la Maison Bakhita,70821.0,DFPE,Fonctionnement,['education & formation']
2023_04986,2023,HANDI'CHIENS,38930800000000.0,Financement de la formation de 2 chiens d'assistance pour personnes souffrant de handicap,30000.0,DSOL,Fonctionnement,['social']
2023_07239,2023,LE PERISCOPE,80744700000000.0,"Activités culturelles, sportives et manuelles rue Bignon/FAL122023",800.0,DDCT,Fonctionnement,['culture & arts']
2023_06061,2023,LE TATOU THEATRE,82788200000000.0,"CPO SPV- Tatou théâtre - ""théâtre et témoignages""14ème",2500.0,DDCT,Projet,['culture & arts']
2023_08431,2023,LES FRIPONS,81970400000000.0,Ateliers de reportages numériques au collège Pierre Mendès France,1000.0,DDCT,Projet,['education & formation']
2023_03785,2023,LES RIVAGES,81345300000000.0,Printemps des Cimetières 2023-PDC2023,1450.0,DEVE,Projet,['culture & arts']
2023_07190,2023,MAILLES CONNECTÉES,92033100000000.0,Animation gratuite intergénérationnelle du quartier Bercy en quatre dates,1250.0,DDCT,Fonctionnement,['education & formation']
2022_07062,2023,SANTE ARMENIE,89858600000000.0,[International] - Soutien psychosocial en Arménie,10000.0,DGRI,Projet,['santé']
2023_03492,2023,SINGA PARIS,79326800000000.0,J'accueille - Accueil de personnes réfugiées chez les particuliers,30000.0,DSOL,Fonctionnement,['précarité & exclusion']
2023_02554,2023,SQUARE BANDE,33206100000000.0,Subvention de fonctionnement,97283.0,DFPE,Fonctionnement,['social']
2022_03445,2022,ASSOCIATION LA DALLE AUX CHAPS,53381300000000.0,Investissement,22000.0,DAC,Investissement,none
2022_00641,2022,ASSOCIATION SPORTIVE DU LYCEE CHARLEMAGNE,50343100000000.0,Demande de subvention fonctionnement de l¿asssociation sportive Charlemagne,1750.0,DJS,Fonctionnement,none
2022_00647,2022,CLUB SPORTIF POUCHET PARIS XVII,48224100000000.0,Soutien projets sportifs,9600.0,DJS,Fonctionnement,none
2022_08833,2022,GRENADINE ET MENTHE A L'EAU,33397600000000.0,soutien complémentaire,6440.0,DFPE,Fonctionnement,none
2022_05276,2022,LA COMEDIE DES ANGES,41052400000000.0,"CPO DAC- QUARTIERS EN POESIE , présence ELLE(S) AILE(S)",1700.0,DASCO,Projet,none
2022_03024,2022,LES ENFANCES,38786400000000.0,BP2022,68195.0,DFPE,Fonctionnement,none
2022_08381,2022,"LES MEDIATEURS ET LES MEDIATRICES DU 20 EME ""LES MEDIATEURS ET MEDIATRICES SOCIAUX ET CULTURELLES""",81278100000000.0,"""le bon chemin"" - prévention des rixesAAP-SPPR2022",1000.0,DSOL,Fonctionnement,none
2022_09612,2022,MODULECOM,75157100000000.0,"MOBEXPO: ""Égalité au travail""",3000.0,DDCT,Projet,none
2022_07297,2022,PARIS XIV FUTSAL CLUB PFC 14,79478500000000.0,Journée à la mer - FAL Mairie 14,1750.0,DDCT,Projet,none
2024_03938,2024,ANTANAK,80988800000000.0,CPO SPV - APPROPRIATIONS NUMÉRIQUES,2000.0,DDCT,Projet,['education & formation']
2024_04051,2024,GROUPE D'INFORMATION ET DE SOUTIEN DES IMMIGRE.E.S (GISTI),31513200000000.0,Action d¿information et de conseil,10000.0,DDCT,Projet,['défense des droits et des intérêts']
2024_01853,2024,REGIE DE QUARTIERS TELA 13,45297500000000.0,FORUM DES HABITANTS 2024,3500.0,DDCT,Projet,['social']
2024_06174,2024,RING DU 14EME ARRONDISSEMENT,51749300000000.0,subvention fonctionnement,5000.0,DJS,Fonctionnement,['sport']
2024_04394,2024,SPORTING CLUB BELLEVILLOIS SCB,44785600000000.0,"Pratique du Cyclotourisme,  de  la Marche et du paravélo",1200.0,DJS,Fonctionnement,['sport']
2024_10200,2024,ASSOCIATION D'ASSISTANCE SCOLAIRE LINGUISTIQUE ET CULTURELLE ASLC,41000900000000.0,Alpha Francophone : Projet Lettres Libres,18000.0,DDCT,Projet,none
2024_10683,2024,A TOI THEATRE,43291700000000.0,2024 - LES MERCREDIS / JEUDIS DU THEATRE - Ateliers projets enfants - PARIS 10 - PARIS 19,2000.0,DAC,Projet,none
2024_03821,2024,FNACA DU 1ER   2EME ARRDT DE PARIS,53757800000000.0,Demande de subvention 2024 des comités du 1er et 2e arrdt de la FNACA de Paris,600.0,DAC,Fonctionnement,none
2024_02753,2024,MAISON DU GESTE ET DE L'IMAGE CENTRE DE RECHERCHE ET D'EDUCATION ARTISTIQUE,32867900000000.0,subvention d'équipement 2024,53827.0,DAC,Investissement,none
2024_08017,2024,VOIX DE FEMMES,43004700000000.0,Accompagnement individualisé des jeunes parisien.n.e.s confronté.e.s à un mariage forcé,6000.0,DDCT,Projet,none
2022_06869,2022,URBANESCENCE,83320800000000.0,Alimentation durable et solidaire 2022EcoAlim22,6000.0,DAE,Projet,none
2023_06985,2023,ASSOCIATION POUR L'INFORMATION ET LA PREVENTION DE LA DREPANOCYTOSE APIPD,45327300000000.0,"DREPACTION 2023 : Court-circuit sur la drépanocytose, l'APIPD fait sa lumière",5000.0,DGOM,Projet,['education & formation']
2023_08151,2023,EBONY ET IVORY,44523200000000.0,Ré-créations Récré-actions pour tous,1000.0,DJS,Projet,['sport']
2023_09236,2023,LA COMMUNAUTE ECOTABLE,84363400000000.0,Quartier A - année 3,8000.0,DEVE,Fonctionnement,['tourisme']
2023_06846,2023,L'AGENCE DU COURT METRAGE,32785200000000.0,Résidence en collège : Critique de cinéma 2023RAC2023,5000.0,DASCO,Projet,['culture & arts']
2023_06034,2023,LE DANUBE PALACE,50164300000000.0,CPO SPV -LE DANUBE PALACE-CULTURES CROISEES ET CULTURE PHYSIQUE,5000.0,DDCT,Projet,['culture & arts']
2023_08017,2023,LES PETITS POINGS,83953900000000.0,FAL17 - lectures inclusives,1000.0,DDCT,Fonctionnement,['culture & arts']
2023_06956,2023,MANAKIN PRODUCTION,84201900000000.0,Soutien Festival Spectacle Vivant > Festival SUPERFLASH (Manakin x Point Éphémère),3000.0,DAC,Projet,['culture & arts']
2023_01703,2023,PARCOURS,50977900000000.0,Superstars des murs 2023. Peinture et film documentaire dans l¿espace public-VVV2023,2000.0,DPMP,Projet,['culture & arts']
2022_06902,2022,ASSOCIATION POUR L'ACCUEIL DE TOUS LES ENFANTS APATE,38448700000000.0,Demande subvention investissement travaux 2022Etablissement - Caverne Ali Baba,9613.0,DFPE,Investissement,none
2022_03009,2022,CODE CODE CODEC,88159600000000.0,Permanences numériques,5000.0,DSOL,Fonctionnement,none
2022_04758,2022,D'UNE LANGUE A L'AUTRE DULALA,51218400000000.0,CPO SPV - Pratiques artistiques et plurilinguisme sur le 19è,1500.0,DASCO,Projet,none
2022_03137,2022,FORUM DES IMAGES,33212400000000.0,Subvention annuelle de fonctionnement du Forum des images-(hors Tumo Paris 4),5500000.0,DAE,Fonctionnement,none
2022_10317,2022,FURINKAI,44842000000000.0,Aide à la résidence artistique et culturelle dans le domaine du spectacle vivant (hors musique),18000.0,DAC,Projet,none
2022_07861,2022,L'INTESTINE,47890800000000.0,CPO SPV LA PERMANENCE CHORÉGRAPHIQUE PORTE DE LA CHAPELLE 2022 // CARNAVALER PARIS 18,2500.0,DAC,Projet,none
2022_09517,2022,MAISON DU ZÉRO DÉCHET,82811800000000.0,Financement du nouveau magasin 'Rien de Neuf' de la Maison du Zéro Déchet,30000.0,DAE,Fonctionnement,none
2024_03546,2024,ARCE - AVENIR FEMMES,88423800000000.0,Tremplin digital pour les femmes précaires,1000.0,DDCT,Projet,['social']
2023_11059,2024,GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES GRET,30912300000000.0,Services publiques concertés et durables dans 2 communes périphériques d¿Antananarivo (SePTA),30000.0,DGRI,Projet,['santé']
2024_06699,2024,INSTITUT DES CULTURES D'ISLAM (ICI),52225300000000.0,Demande de subvention de fonctionnement,550000.0,DAC,Fonctionnement,['culture & arts']
2024_02803,2024,ROSETTA,91019900000000.0,FSF19 - L'olympisme sans frontières : Les échanges interculturels et linguistiques aux JO,3000.0,DDCT,Fonctionnement,['loisirs']
2024_02746,2024,RUEPUBLIQUE - SIMPLENGLISH,79497500000000.0,FSF10 durant l'été TEP Grange Aux Belles 2024,2000.0,DDCT,Fonctionnement,['sport']
2024_05606,2024,ACTION PASSERAILE,44912600000000.0,Subvention de fonctionnement 2024,30000.0,DSOL,Fonctionnement,none
2024_01814,2024,CANOPY,48880300000000.0,2024 PLV TIPI 6.0,2000.0,DDCT,Projet,none
2024_11137,2024,COURANT D'ART FRAIS,42432200000000.0,Lien social - Gestion et animation de l'Espace Bièvre,2000.0,DDCT,Projet,none
2024_10917,2024,LES FOURMIS QUI JARDINENT,88124800000000.0,Subvention Politique de la ville / QPV,3000.0,DEVE,Projet,none
2024_10188,2024,"LES MALTRAITANCES, MOI J'EN PARLE !",88891600000000.0,Prévention des maltraitances infantiles,5000.0,DSOL,Projet,none
2024_02492,2024,MA PARTITION DE VIE (MPDV),87769800000000.0,Voyage à travers les cultures,2000.0,DDCT,Projet,none
2024_09631,2024,MON OEIL!,83267800000000.0,FAL20 - BAM2024,5000.0,DDCT,Fonctionnement,none
2024_08547,2024,SPORT DANS LA VILLE,42115700000000.0,"Développement des programmes « Sport et Découverte », « Job dans la Ville » et « L dans la Ville »",8000.0,DJS,Fonctionnement,none
2022_07385,2022,UNION NATIONALE DES ASSOCIATIONS DE PARENTS D'ENFANTS DEFICIENTS AUDITIFS - UNAPEDA,47892800000000.0,surdicafé:Aides techniquesscolarisation,1500.0,DSOL,Fonctionnement,none
2024_11072,2024,DE MONBLEMONT,88481400000000.0,L'éducation par la culture et le sport pour les jeunes du quartier Blémont,1000.0,DSP,Indéterminée,none
2024_06684,2024,EVROPA FILM AKT L'EUROPE AUTOUR DE L'EUROPE,50262900000000.0,Paris à l'international 2024 - 3000 ANS DE SPORT EN 10 FILMS ET 3 ROMANS,5000.0,DAC,Fonctionnement,none
2024_06265,2024,LA CITE SOCIETE HISTORIQUE ET ARCHEOLOGIQUE DES 3EME 4EME 11EME ET 12EME ARRONDISSEMENTS DE PARIS,84847100000000.0,Création d'un site internet,1000.0,DAC,Projet,none
2024_06516,2024,SAND SYSTEM ASSOCIATION,50488800000000.0,Subvention 2024 Sand System Association,2500.0,DJS,Fonctionnement,none
2024_03394,2024,TRAVAIL ET PARTAGE ARMEE DU SALUT,39127300000000.0,IAE BIAE (DAE),22000.0,DAE,Indéterminée,none
2024_05785,2024,WOMENABILITY,81403300000000.0,Ateliers : de l'espace public au consentement par la pratique artistique,4000.0,DDCT,Projet,none
2022_01051,2022,ACTIONS TRAITEMENTS,38861600000000.0,Actions de lutte contre la sérophobie et défense des droits des personnes vivant avec le VIH,3200.0,DDCT,Projet,none
2022_01595,2022,ASSOCIATION SPORTIVE DU COLLEGE ALAIN FOURNIER,48100300000000.0,Fonctionnement des 6 actvités de l'Association sportive du collège Alain Fournier,1500.0,DJS,Fonctionnement,none
2022_04495,2022,ATELIER 21,78900300000000.0,Financement de la création du Musée des énergies renouvelables,2000.0,DTEC,Projet,none
2022_04118,2022,AUX CAPTIFS LA LIBERATION,32591000000000.0,Maraudes d'intervention sociale XXème arrondissement 2022,29840.0,DSOL,Projet,none
2022_00091,2022,BIBLIOTHEQUE DES AMIS DE L'INSTRUCTION DU 3EME ARRONDISSEMENT,39141800000000.0,subvention de fonctionnement 2022,3000.0,DAC,Fonctionnement,none
2022_09163,2022,CHAMPIONNET SPORTS,44801400000000.0,IMPACT 2024,15000.0,DJS,Projet,none
2022_00562,2022,COALITION INTERNATIONALE POUR L'ABOLITION DE LA MATERNITÉ DE SUBSTITUTION (CIAMS),84082300000000.0,"MIGRATION ET GPA (OBSERVATOIRE ET ACTION)  inégalités hommes femmes, atteinte à la dignité humain",5000.0,DDCT,Projet,none
2022_08566,2022,KAPITAL JEUNESSE (KJ),90944100000000.0,FAL-19 Fond d'animation Locale 19e,1350.0,DDCT,Projet,none
2022_07364,2022,L'ASSOCIATION CENTRE LAPPARENT POUR L'EDUCATION - (LACLE),83081500000000.0,Subvention sur les fonds d'animationFAL7,1000.0,DDCT,Fonctionnement,none
2024_05038,2024,AMICALE DE NEUENGAMME ET DE SES KOMMANDOS,82931700000000.0,Convention pluriannuelle d'objectifs - Amicale de Neuengamme et de ses Kommandos,3500.0,DAC,Fonctionnement,['mémoire']
2022_00209,2022,TOUSTES EN COLO,89111200000000.0,"[Jeunesse, Inclusion, diversité, Environnement] Séjour de vacances inclusives pour adolescent.e.s",6000.0,DJS,Projet,none
2022_05780,2022,VIACTI,79115600000000.0,TAP 2022 : A la découverte des handicaps,15840.0,DASCO,Projet,none
2024_05974,2024,LA COMPAGNIE DU SON DES RUES,48915600000000.0,"CPO SPV - Stages d'initiation à la pratique documentaire aboutissant à la réalisation de films, sur des",4000.0,DDCT,Projet,['culture & arts']
2023_11066,2024,POT@MAI,83429600000000.0,"Installation d'une Unité de Services Essentiels alimentée par énergie renouvelable, Pont du Niari",7000.0,DGRI,Projet,['education & formation']
2024_04566,2024,TENNIS CLUB DU 11EME ASSOCIATION SPORTIVE SAINT BERNARD,40006500000000.0,Animation site de festivités du 11ème arrondissement l¿été 2024 (   FSF11 ) JO2024,3000.0,DDCT,Fonctionnement,['sport']
2024_05521,2024,THEATRE IRRUPTIONNEL,45134400000000.0,Aide au fonctionnement du Théâtre de Verdure du Jardin Shakespeare,30000.0,DAC,Fonctionnement,['culture & arts']
2022_03582,2022,AMICALE DU NID ADN,77572400000000.0,Accompagner les équipes de l'ASE à identifier et à accompagner les mineurs-es confié(e)s,15000.0,DDCT,Projet,none
2022_05097,2022,UNE RADIO ETUDIANTE A PARIS,42060000000000.0,KITASSO22 - 24ème saison de Radio Campus Paris,30000.0,DAE,Projet,none
2024_02304,2024,MULTIKULTI MEDIA,79118500000000.0,ATELIERS JOURNALISME SUR L'INCLUSION PAR LE SPORT PARIS 10E,2500.0,DDCT,Projet,['mémoire']
2024_04010,2024,PRÉMISSES PRODUCTION,82909000000000.0,LA CAVALE à L'Athénée 2024  - Aide à la résidence artistique et culturelle dans spectacle vivant,6000.0,DAC,Projet,['culture & arts']
